JH-2-HALL,00:0c:e6:80:fa:04,84,88
JH-2-HALL,00:0c:e6:80:fc:04,76,88
JH-2-HALL,00:0c:e6:80:fb:04,64,88
JH-2-HALL,00:0c:e6:80:ff:04,62,88
JH-2-HALL,00:0c:e6:80:f9:04,83,86
JH-2-HALL,00:0c:e6:81:02:04,75,88
JH-2-HALL,00:0c:e6:81:04:04,61,86
JH-2-HALL,00:0c:e6:80:fe:04,52,86
JH-2-HALL,00:0c:e6:80:fd:04,52,81
JH-2-HALL,00:0c:e6:81:06:04,56,84
JH-2-HALL,00:0c:e6:81:0a:04,64,88
JH-2-HALL,00:0c:e6:81:07:04,51,85
JH-2-HALL,00:0c:e6:81:90:04,64,84
JH-2-HALL,00:0c:e6:81:05:04,50,86
JH-2-HALL,00:0c:e6:81:09:04,35,68
JH-2-HALL,00:0c:e6:81:08:04,38,63
248JHd2,00:0c:e6:80:46:04,85,85
248JHd2,00:0c:e6:81:07:04,81,90
248JHd2,00:0c:e6:80:49:04,84,87
248JHd2,00:0c:e6:80:4c:04,81,87
248JHd2,00:0c:e6:81:08:04,49,61
248JHd2,00:0c:e6:81:05:04,61,75
248JHd2,00:0c:e6:81:90:04,64,77
248JHd2,00:0c:e6:81:06:04,59,87
248JHd2,00:0c:e6:81:09:04,39,70
248JHd2,00:0c:e6:80:cc:04,92,92
248JHd2,00:0c:e6:80:65:04,91,91
248JHd2,00:0c:e6:81:62:04,90,90
248JHd2,00:0c:e6:80:6e:04,88,88
248JHd2,00:0c:e6:80:fd:04,87,87
248JHd2,00:0c:e6:81:03:04,86,86
248JHd2,00:0c:e6:80:fe:04,74,87
248JH,00:0c:e6:80:46:04,82,85
248JH,00:0c:e6:80:49:04,85,85
248JH,00:0c:e6:81:0a:04,81,83
248JH,00:0c:e6:81:07:04,78,86
248JH,00:0c:e6:80:fe:04,77,86
248JH,00:0c:e6:80:4c:04,78,86
248JH,00:0c:e6:81:06:04,75,86
248JH,00:0c:e6:81:90:04,58,84
248JH,00:0c:e6:81:05:04,58,77
248JH,00:0c:e6:81:09:04,56,76
248JH,00:0c:e6:81:08:04,43,64
221JH,00:0c:e6:e0:fa:02,79,85
221JH,00:0c:e6:e0:f8:42,90,90
221JH,00:0c:e6:80:f9:04,77,88
221JH,00:0c:e6:81:04:04,86,86
221JH,00:0c:e6:80:fb:04,72,88
221JH,00:0c:e6:81:0a:04,80,80
221JH,00:0c:e6:80:ff:04,79,87
221JH,00:0c:e6:80:fe:04,64,82
221JH,00:0c:e6:80:fd:04,70,88
221JH,00:0c:e6:81:06:04,52,77
221JH,00:0c:e6:81:07:04,71,84
221JH,00:0c:e6:81:90:04,61,77
221JH,00:0c:e6:81:05:04,68,88
221JH,00:0c:e6:81:09:04,40,62
221JH,00:0c:e6:81:08:04,43,72
219JH,00:0c:e6:81:0a:04,87,87
219JH,00:0c:e6:80:ff:04,86,86
219JH,00:0c:e6:e0:fa:02,83,84
219JH,00:0c:e6:81:07:04,77,86
219JH,00:0c:e6:80:f9:04,80,80
219JH,00:0c:e6:81:05:04,66,81
219JH,00:0c:e6:80:fb:04,80,85
219JH,00:0c:e6:80:fe:04,70,84
219JH,00:0c:e6:80:fd:04,75,86
219JH,00:0c:e6:81:06:04,59,82
219JH,00:0c:e6:81:90:04,54,64
219JH,00:0c:e6:81:09:04,42,63
219JH,00:0c:e6:81:08:04,42,59
