5318SC,00:0c:e6:c9:2f:02,85,88
5318SC,00:0c:e6:c8:97:02,83,87
5318SC,00:0c:e6:c8:94:02,76,87
5318SC,00:0c:e6:c8:a1:42,56,76
5318SC,00:0c:e6:c8:99:02,81,81
5318SC,00:0c:e6:c8:91:42,91,91
5318SC,00:0c:e6:c8:9f:42,87,87
5318SC,00:0c:e6:c8:85:02,77,86
5318SC,00:0c:e6:c8:91:02,67,83
5318SC,00:0c:e6:c8:9c:42,77,86
5318SC,00:0c:e6:c8:a0:42,45,83
5318SC,00:0c:e6:c8:9e:02,82,87
5318SC,00:0c:e6:c9:31:42,84,94
5318SC,00:0c:e6:c9:2e:02,65,87
5318SC,00:0c:e6:c8:84:02,80,80
5318SC,00:0c:e6:c9:2e:42,72,93
5318SC,00:0c:e6:c8:a1:02,45,68
5318SC,00:0c:e6:c8:9c:02,53,70
5318SC,00:0c:e6:c9:31:02,62,79
5318SC,00:0c:e6:c8:9d:02,85,85
5318SC,00:0c:e6:c8:88:02,73,73
5318SC,00:0c:e6:c8:95:02,64,88
5318SC,00:0c:e6:c8:9f:02,70,88
5318SC,00:0c:e6:c8:a0:02,35,63
5316SC,00:0c:e6:c8:9f:42,84,84
5316SC,00:0c:e6:c8:9d:02,85,85
5316SC,00:0c:e6:c9:2f:02,84,84
5316SC,00:0c:e6:c8:84:02,83,86
5316SC,00:0c:e6:c8:95:42,90,93
5316SC,00:0c:e6:c8:94:02,74,88
5316SC,00:0c:e6:c8:85:02,80,85
5316SC,00:0c:e6:c8:a1:42,81,81
5316SC,00:0c:e6:c8:9e:02,74,84
5316SC,00:0c:e6:c8:88:02,77,87
5316SC,00:0c:e6:c9:31:42,84,92
5316SC,00:0c:e6:c8:9c:42,82,92
5316SC,00:0c:e6:c9:2e:42,68,83
5316SC,00:0c:e6:c9:2e:02,66,81
5316SC,00:0c:e6:c8:9f:02,67,81
5316SC,00:0c:e6:c8:a0:42,54,73
5316SC,00:0c:e6:c8:91:02,73,90
5316SC,00:0c:e6:c8:a1:02,55,73
5316SC,00:0c:e6:c8:9c:02,58,73
5316SC,00:0c:e6:c9:31:02,68,80
5316SC,00:0c:e6:c8:95:02,65,77
5316SC,00:0c:e6:c8:a0:02,35,47
5312SC,00:0c:e6:c9:31:42,92,92
5312SC,00:0c:e6:c8:88:42,86,93
5312SC,00:0c:e6:c8:96:02,84,87
5312SC,00:0c:e6:c8:97:02,87,87
5312SC,00:0c:e6:c8:95:42,72,93
5312SC,00:0c:e6:c8:77:02,86,86
5312SC,00:0c:e6:c8:9e:42,91,91
5312SC,00:0c:e6:c8:a1:42,83,91
5312SC,00:0c:e6:c8:94:02,74,86
5312SC,00:0c:e6:c8:9c:42,91,91
5312SC,00:0c:e6:c8:9f:42,92,92
5312SC,00:0c:e6:c8:9d:02,80,85
5312SC,00:0c:e6:c8:a0:42,66,74
5312SC,00:0c:e6:c8:84:02,72,87
5312SC,00:0c:e6:c8:85:02,80,80
5312SC,00:0c:e6:c8:9e:02,60,78
5312SC,00:0c:e6:c8:88:02,65,81
5312SC,00:0c:e6:c9:2e:42,75,93
5312SC,00:0c:e6:c9:2e:02,72,82
5312SC,00:0c:e6:c8:9f:02,51,74
5312SC,00:0c:e6:c8:91:02,76,86
5312SC,00:0c:e6:c8:a1:02,62,79
5312SC,00:0c:e6:c8:9c:02,61,80
5312SC,00:0c:e6:c9:31:02,71,90
5312SC,00:0c:e6:c8:95:02,52,77
5312SC,00:0c:e6:c8:a0:02,41,63
5020SC,00:0c:e6:c8:94:42,90,90
5020SC,00:0c:e6:c8:a0:42,90,92
5020SC,00:0c:e6:c9:3a:02,82,87
5020SC,00:0c:e6:c8:a8:02,83,85
5020SC,00:0c:e6:c8:a3:02,78,84
5020SC,00:0c:e6:c8:9f:42,76,91
5020SC,00:0c:e6:c8:9e:42,66,74
5020SC,00:0c:e6:c8:87:02,74,86
5020SC,00:0c:e6:c9:31:42,92,92
5020SC,00:0c:e6:c8:88:42,89,89
5020SC,00:0c:e6:c8:91:02,81,81
5020SC,00:0c:e6:c8:9d:02,80,80
5020SC,00:0c:e6:c9:31:02,75,75
5020SC,00:0c:e6:c9:2e:02,79,79
5020SC,00:0c:e6:c8:95:42,86,86
5020SC,00:0c:e6:c8:94:02,72,85
5020SC,00:0c:e6:c8:84:02,77,87
5020SC,00:0c:e6:c8:9e:02,43,59
5020SC,00:0c:e6:c8:88:02,68,85
5020SC,00:0c:e6:c9:2e:42,79,79
5020SC,00:0c:e6:c8:9f:02,56,74
5020SC,00:0c:e6:c8:a1:02,78,91
5020SC,00:0c:e6:c8:9c:02,79,85
5020SC,00:0c:e6:c8:95:02,58,78
5020SC,00:0c:e6:c8:a0:02,74,85
5013SC,00:0c:e6:c8:9e:42,64,69
5013SC,00:0c:e6:c8:88:02,85,90
5013SC,00:0c:e6:c8:9d:02,85,85
5013SC,00:0c:e6:c8:89:02,79,87
5013SC,00:0c:e6:c8:8a:02,77,87
5013SC,00:0c:e6:c8:7a:02,78,86
5013SC,00:0c:e6:c8:95:42,91,95
5013SC,00:0c:e6:c8:9f:42,63,63
5013SC,00:0c:e6:c8:94:42,61,73
5013SC,00:0c:e6:c8:7c:02,79,84
5013SC,00:0c:e6:c8:87:02,73,79
5013SC,00:0c:e6:c8:95:02,73,84
5013SC,00:0c:e6:c8:96:02,60,76
5013SC,00:0c:e6:c8:94:02,45,60
5013SC,00:0c:e6:c8:9e:02,50,60
5013SC,00:0c:e6:c8:9f:02,73,82
5013SC,00:0c:e6:c8:a0:02,84,84
SC-5-HALL,00:0c:e6:c8:7a:02,84,84
SC-5-HALL,00:0c:e6:c8:89:02,83,87
SC-5-HALL,00:0c:e6:c8:87:42,92,92
SC-5-HALL,00:0c:e6:c8:87:02,66,83
SC-5-HALL,00:0c:e6:c8:94:42,72,93
SC-5-HALL,00:0c:e6:c8:84:42,91,94
SC-5-HALL,00:0c:e6:c8:7c:02,79,90
SC-5-HALL,00:0c:e6:c8:96:02,72,85
SC-5-HALL,00:0c:e6:c8:77:02,79,87
SC-5-HALL,00:0c:e6:c8:92:02,85,85
SC-5-HALL,00:0c:e6:c8:88:42,78,93
SC-5-HALL,00:0c:e6:c8:94:02,51,84
SC-5-HALL,00:0c:e6:c8:95:42,58,94
SC-5-HALL,00:0c:e6:c8:9e:42,54,93
SC-5-HALL,00:0c:e6:c8:9c:42,64,92
SC-5-HALL,00:0c:e6:c8:a1:42,47,76
SC-5-HALL,00:0c:e6:c9:2f:42,81,94
SC-5-HALL,00:0c:e6:c8:8e:02,78,87
SC-5-HALL,00:0c:e6:c8:99:02,72,86
SC-5-HALL,00:0c:e6:c8:a0:42,49,93
SC-5-HALL,00:0c:e6:c8:91:42,78,91
SC-5-HALL,00:0c:e6:c8:9f:42,64,93
SC-5-HALL,00:0c:e6:c8:93:02,79,79
SC-5-HALL,00:0c:e6:c9:31:42,63,90
SC-5-HALL,00:0c:e6:c8:9e:02,33,83
SC-5-HALL,00:0c:e6:c8:84:02,68,84
SC-5-HALL,00:0c:e6:c8:85:02,68,85
SC-5-HALL,00:0c:e6:c9:30:02,78,82
SC-5-HALL,00:0c:e6:c8:88:02,58,87
SC-5-HALL,00:0c:e6:c9:2f:02,65,86
SC-5-HALL,00:0c:e6:c8:91:02,61,87
SC-5-HALL,00:0c:e6:c8:95:02,42,81
SC-5-HALL,00:0c:e6:c8:9d:02,74,90
SC-5-HALL,00:0c:e6:c8:86:02,77,83
SC-5-HALL,00:0c:e6:c9:2e:42,67,94
SC-5-HALL,00:0c:e6:c9:2e:02,59,87
SC-5-HALL,00:0c:e6:c8:9f:02,44,83
SC-5-HALL,00:0c:e6:c9:31:02,50,78
SC-5-HALL,00:0c:e6:c8:a1:02,26,88
SC-5-HALL,00:0c:e6:c8:9c:02,43,86
SC-5-HALL,00:0c:e6:c8:a0:02,23,86
5309SC,00:0c:e6:c8:84:42,92,92
5309SC,00:0c:e6:c8:7c:02,86,86
5309SC,00:0c:e6:c9:30:42,91,91
5309SC,00:0c:e6:c8:9e:42,67,93
5309SC,00:0c:e6:c8:a0:42,79,94
5309SC,00:0c:e6:c8:93:02,73,86
5309SC,00:0c:e6:c8:77:02,80,88
5309SC,00:0c:e6:c8:9d:42,86,93
5309SC,00:0c:e6:c8:9f:42,40,77
5309SC,00:0c:e6:c8:86:02,74,88
5309SC,00:0c:e6:c9:30:02,70,84
5309SC,00:0c:e6:c8:92:02,70,87
5309SC,00:0c:e6:c8:96:02,79,88
5309SC,00:0c:e6:c8:94:02,68,86
5309SC,00:0c:e6:c8:84:02,64,85
5309SC,00:0c:e6:c8:88:02,54,78
5309SC,00:0c:e6:c9:31:42,87,93
5309SC,00:0c:e6:c9:31:02,70,84
5309SC,00:0c:e6:c9:2e:02,74,88
5309SC,00:0c:e6:c8:9d:02,60,87
5309SC,00:0c:e6:c9:2e:42,79,92
5309SC,00:0c:e6:c8:91:02,83,87
5309SC,00:0c:e6:c8:88:42,78,94
5309SC,00:0c:e6:c8:9c:02,74,87
5309SC,00:0c:e6:c8:95:42,70,94
5309SC,00:0c:e6:c8:a1:42,54,93
5309SC,00:0c:e6:c8:a1:02,71,86
5309SC,00:0c:e6:c8:9e:02,50,85
5309SC,00:0c:e6:c8:9f:02,21,57
5309SC,00:0c:e6:c8:95:02,45,74
5309SC,00:0c:e6:c8:a0:02,57,87
5317SC,00:0c:e6:c8:78:02,82,82
5317SC,00:0c:e6:c8:79:02,86,86
5317SC,00:0c:e6:c8:93:42,92,94
5317SC,00:0c:e6:c8:86:42,93,93
5317SC,00:0c:e6:c8:92:02,75,83
5317SC,00:0c:e6:c8:a1:42,77,87
